"AptName","Target","TargetFullName","EntrezGeneSymbol","UniProt"
"seq.2590.69","ROR1","Inactive tyrosine-protein kinase transmembrane receptor ROR1","ROR1","Q01973"
"seq.25901.3","CRTC3","CREB-regulated transcription coactivator 3","CRTC3","Q6UUV7"
"seq.25902.27","DHE3","Glutamate dehydrogenase 1; mitochondrial","GLUD1","P00367"
"seq.25904.17","DOCK2","Dedicator of cytokinesis protein 2","DOCK2","Q92608"
"seq.25906.5","EF-1-alpha-1","Elongation factor 1-alpha 1","EEF1A1","P68104"
"seq.25907.47","EMAL2","Echinoderm microtubule-associated protein-like 2","EML2","O95834"
"seq.25912.131","FK506 binding protein 1A","FK506 binding protein 1A","FKBP1A","P62942"
"seq.25913.17","FRIH","Ferritin heavy chain","FTH1","P02794"
"seq.25917.12","Hexosaminidase A","Beta-hexosaminidase alpha chain","HEXA","P06865"
"seq.25918.60","HLAE","HLA class I histocompatibility antigen; alpha chain E","HLA-E","P13747"
"seq.25921.3","Inhibin a subunit","Inhibin a subunit","INHA","P05111"
"seq.25922.7","LRP5","Low-density lipoprotein receptor-related protein 5","LRP5","O75197"
"seq.25926.29","LDB1","LIM domain-binding protein 1","LDB1","Q86U70"
"seq.25938.13","NGN3","Neurogenin-3","NEUROG3","Q9Y4Z2"
"seq.25941.4","OA synthetase","2'-5'-oligoadenylate synthetase like protein","OASL","Q15646"
"seq.25947.116","PK3C3","Phosphatidylinositol 3-kinase catalytic subunit type 3","PIK3C3","Q8NEB9"
"seq.25948.18","PKN2","Serine/threonine-protein kinase N2","PKN2","Q16513"
"seq.25949.3","PLCD3","1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase delta-3","PLCD3","Q8N3E9"
"seq.25951.17","PRAME","Preferentially expressed antigen of melanoma","PRAME","P78395"
"seq.25954.3","PTPRN","Receptor-type tyrosine-protein phosphatase-like N","PTPRN","Q16849"
"seq.25956.9","RPGF1","Rap guanine nucleotide exchange factor 1","RAPGEF1","Q13905"
"seq.25957.5","SRY","Sex-determining region Y protein","SRY","Q05066"
"seq.25960.15","T-plastin","Plastin-3","PLS3","P13797"
"seq.25962.51","WNK1","Serine/threonine-protein kinase WNK1","WNK1","Q9H4A3"
"seq.25963.2","XPO5","Exportin-5","XPO5","Q9HAV4"
"seq.25964.12","C1QT4","Complement C1q tumor necrosis factor-related protein 4","C1QTNF4","Q9BXJ3"
