AptName,TargetFullName,Target,UniProt,logFC,AveExpr,t,P.Value,adj.P.Val,B
seq.3413.50,Bcl-2-related protein A1,BFL1,Q16548,-0.236083435,12.16247631,-1.520984464,0.144684599,0.982436854,-4.44120673
seq.11428.31,PDZ and LIM domain protein 1,PDLI1,O00151,-0.880583726,11.08608933,-1.520173359,0.144887169,0.982436854,-4.441529983
seq.8106.15,Translocon-associated protein subunit alpha,SSRA,P43307,0.099034286,9.422592473,1.518643061,0.145269994,0.982436854,-4.442139565
seq.13719.19,Serine/threonine-protein kinase PAK 4,PAK4,O96013,-0.232427023,10.8145438,-1.517386451,0.145584977,0.982436854,-4.442639836
seq.8953.47,Hepatoma-derived growth factor,HDGF,P51858,-0.753030928,11.53266791,-1.5163439,0.145846732,0.982436854,-4.443054691
seq.13090.17,Protein S100-A6,S100A6,P06703,-0.722160114,11.60711041,-1.515927647,0.14595135,0.982436854,-4.443220278
seq.10636.1,Cell surface glycoprotein CD200 receptor 1:Isoform 4; Cytoplasmic Domain,MO2R1:CD,Q8TD46,0.16304255,8.875640886,1.513283349,0.146617398,0.982436854,-4.444271515
seq.7753.21,Oxidoreductase HTATIP2,HTAI2,Q9BUP3,0.343205099,12.72347734,1.51295588,0.146700056,0.982436854,-4.44440162
seq.6913.189,High mobility group protein B2,HMG-2,P26583,-0.721437516,10.5074024,-1.512393766,0.146842031,0.982436854,-4.444624908
seq.12740.55,Protein FEV,FEV,Q99581,-0.418771685,9.853278769,-1.512158417,0.146901508,0.982436854,-4.44471838
seq.9223.11,Mesencephalic astrocyte-derived neurotrophic factor,ARMET,P55145,-1.057333025,13.29690119,-1.511862775,0.14697625,0.982436854,-4.444835785
seq.14689.3,Protein SEC13 homolog,SEC13,P55735,-0.166094938,12.02567176,-1.510938967,0.147210002,0.982436854,-4.445202554
seq.11626.7,Ubiquitin-conjugating enzyme E2 variant 1,UB2V1,Q13404,-0.866074329,11.90448601,-1.510325519,0.147365393,0.982436854,-4.445446025
seq.9028.5,Poly(A) RNA polymerase; mitochondrial,PAPD1,Q9NVV4,0.29168174,11.69741098,1.509980308,0.147452897,0.982436854,-4.445583009
seq.20976.19,U6 snRNA-associated Sm-like protein LSm3,LSM3,P62310,-0.546760776,11.28905631,-1.509865556,0.147481994,0.982436854,-4.44562854
seq.11242.33,Protein-glutamine gamma-glutamyltransferase K,TGM1,P22735,0.439346226,9.092381459,1.509594443,0.147550756,0.982436854,-4.445736101
seq.5275.28,Proto-oncogene vav,VAV,P15498,-1.037561413,11.61250772,-1.509330354,0.147617763,0.982436854,-4.445840864
seq.9241.40,Signal-regulatory protein gamma,SIRPG,Q9P1W8,0.127965701,9.705584452,1.509171992,0.147657956,0.982436854,-4.44590368
seq.24695.8,Pleckstrin homology domain-containing family B member 1,PKHB1,Q9UF11,0.459046278,9.395781382,1.508287536,0.147882601,0.982436854,-4.446254433
seq.25048.30,Protein kinase C and casein kinase substrate in neurons protein 2,PACN2,Q9UNF0,-0.782955582,13.81344243,-1.506799966,0.148261069,0.982436854,-4.446844072
